Player,Pos,Age,Tm,G,GS,MP,FG%,3P%,2P%,FT%,TRB,AST,STL,BLK,TOV,PF,PTS
Precious Achiuwa,PF-C,24,TOT,74,18,21.9,0.501,0.268,0.562,0.616,6.6,1.3,0.6,0.9,1.1,1.9,7.6
Precious Achiuwa,C,24,TOR,25,0,17.5,0.459,0.277,0.528,0.571,5.4,1.8,0.6,0.5,1.2,1.6,7.7
Precious Achiuwa,PF,24,NYK,49,18,24.2,0.525,0.26,0.578,0.643,7.2,1.1,0.6,1.1,1.1,2.1,7.6
Bam Adebayo,C,26,MIA,71,71,34,0.521,0.357,0.528,0.755,10.4,3.9,1.1,0.9,2.3,2.2,19.3
Ochai Agbaji,SG,23,TOT,78,28,21,0.411,0.294,0.523,0.661,2.8,1.1,0.6,0.6,0.8,1.5,5.8
Ochai Agbaji,SG,23,UTA,51,10,19.7,0.426,0.331,0.551,0.75,2.5,0.9,0.5,0.6,0.7,1.3,5.4
Ochai Agbaji,SG,23,TOR,27,18,23.6,0.391,0.217,0.496,0.611,3.3,1.3,0.7,0.6,1.1,1.9,6.7
Santi Aldama,PF,23,MEM,61,35,26.5,0.435,0.349,0.534,0.621,5.8,2.3,0.7,0.9,1.1,1.5,10.7
Nickeil Alexander-Walker,SG,25,MIN,82,20,23.4,0.439,0.391,0.517,0.8,2,2.5,0.8,0.5,0.9,1.7,8
Grayson Allen,SG,28,PHO,75,74,33.5,0.499,0.461,0.57,0.878,3.9,3,0.9,0.6,1.3,2.1,13.5
Jarrett Allen,C,25,CLE,77,77,31.7,0.634,0,0.638,0.742,10.5,2.7,0.7,1.1,1.6,1.9,16.5
Timmy Allen,SF,24,MEM,5,0,25,0.261,0,0.375,0.5,3.4,1,0.8,0,0.4,3.6,2.6
Jose Alvarado,PG,25,NOP,56,0,18.4,0.412,0.377,0.464,0.673,2.3,2.1,1.1,0.3,0.7,1.6,7.1
Kyle Anderson,PF,30,MIN,79,10,22.6,0.46,0.229,0.488,0.708,3.5,4.2,0.9,0.6,1.2,1.6,6.4
Giannis Antetokounmpo,PF,29,MIL,73,73,35.2,0.611,0.274,0.645,0.657,11.5,6.5,1.2,1.1,3.4,2.9,30.4
Thanasis Antetokounmpo,PF,31,MIL,34,0,4.6,0.533,0,0.552,0,0.4,0.5,0.2,0.1,0.4,0.7,0.9
Cole Anthony,PG,23,ORL,81,0,22.4,0.435,0.338,0.49,0.826,3.8,2.9,0.8,0.5,1.6,2.2,11.6
OG Anunoby,SF,26,TOT,50,50,34,0.489,0.382,0.581,0.753,4.2,2.1,1.4,0.7,1.6,2.4,14.7
OG Anunoby,SF,26,TOR,27,27,33.3,0.489,0.374,0.608,0.717,3.9,2.7,1,0.5,1.6,2.3,15.1
OG Anunoby,SF,26,NYK,23,23,34.9,0.488,0.394,0.553,0.791,4.4,1.5,1.7,1,1.7,2.5,14.1
Ryan Arcidiacono,PG,29,NYK,20,0,2.3,0,0,0,0,0.4,0.2,0.1,0,0.1,0.3,0
Deni Avdija,SF,23,WAS,75,75,30.1,0.506,0.374,0.56,0.74,7.2,3.8,0.8,0.5,2.1,2.5,14.7
Deandre Ayton,C,25,POR,55,55,32.4,0.57,0.1,0.576,0.823,11.1,1.6,1,0.8,1.8,2,16.7
Udoka Azubuike,C,24,PHO,16,0,7.1,0.696,0,0.696,0.231,2,0.2,0.1,0.4,0.3,1.1,2.2
Ibou Badji,C,21,POR,22,1,10.3,0.636,0,0.636,0.5,2.3,0.6,0.1,0.9,0.7,2.1,1.5
Marvin Bagley III,C,24,TOT,50,25,21.1,0.586,0.391,0.597,0.762,6.2,1.1,0.4,0.7,1.2,1.6,11.7
Marvin Bagley III,C,24,DET,26,10,18.4,0.591,0.167,0.606,0.82,4.5,1,0.2,0.5,1.1,1.5,10.2
Marvin Bagley III,C,24,WAS,24,15,24,0.581,0.471,0.59,0.708,8.1,1.2,0.6,0.8,1.3,1.7,13.3
Amari Bailey,PG,19,CHO,10,0,6.5,0.333,0.125,0.438,0.857,0.9,0.7,0.3,0,0.4,0.2,2.3
Patrick Baldwin Jr.,SF,21,WAS,38,7,13,0.381,0.32,0.483,0.679,3.2,0.8,0.5,0.4,0.5,1.5,4.4
LaMelo Ball,PG,22,CHO,22,22,32.3,0.433,0.355,0.5,0.865,5.1,8,1.8,0.2,3.8,3.6,23.9
Mo Bamba,C,25,PHI,57,17,13,0.49,0.391,0.537,0.68,4.2,0.7,0.4,1.1,0.7,1.8,4.4
Paolo Banchero,PF,21,ORL,80,80,35,0.455,0.339,0.493,0.725,6.9,5.4,0.9,0.6,3.1,1.9,22.6
Desmond Bane,SG,25,MEM,42,42,34.4,0.464,0.381,0.536,0.87,4.4,5.5,1,0.5,2.7,2.9,23.7
Dalano Banton,PG,24,TOT,54,9,19.4,0.404,0.296,0.475,0.783,3.3,2.4,0.6,0.4,1.4,1.2,10.3
Dalano Banton,PG,24,BOS,24,1,7.1,0.373,0.125,0.486,0.8,1.5,0.8,0.2,0.1,0.4,0.8,2.3
Dalano Banton,PG,24,POR,30,8,29.2,0.408,0.311,0.474,0.78,4.8,3.6,0.9,0.6,2.2,1.5,16.7
Dominick Barlow,PF,20,SAS,33,1,12.7,0.496,0.333,0.51,0.69,3.4,1.1,0.4,0.4,0.3,1.4,4.4
Harrison Barnes,PF,31,SAC,82,82,29,0.474,0.387,0.571,0.801,3,1.2,0.7,0.1,0.7,1.2,12.2
Scottie Barnes,SG,22,TOR,60,60,34.9,0.475,0.341,0.536,0.781,8.2,6.1,1.3,1.5,2.8,2,19.9
RJ Barrett,SG,23,TOT,58,58,31.7,0.495,0.36,0.549,0.715,5.4,3.3,0.5,0.4,2.2,2.2,20.2
RJ Barrett,SG,23,NYK,26,26,29.5,0.423,0.331,0.469,0.831,4.3,2.4,0.5,0.3,1.8,1.7,18.2
RJ Barrett,SG,23,TOR,32,32,33.5,0.553,0.392,0.605,0.629,6.4,4.1,0.6,0.4,2.5,2.6,21.8
Charles Bassey,C,23,SAS,19,0,10.8,0.725,0,0.744,0.833,4,1.1,0.4,0.9,0.8,1.6,3.3
Emoni Bates,SF,20,CLE,15,0,8.9,0.306,0.303,0.313,0.25,0.9,0.7,0.1,0.1,0.5,0.3,2.7
Keita Bates-Diop,SF,28,TOT,53,8,12.5,0.434,0.304,0.526,0.762,2.1,0.7,0.5,0.4,0.3,0.7,3.7
Keita Bates-Diop,SF,28,PHO,39,8,15.3,0.427,0.313,0.512,0.722,2.6,0.9,0.6,0.5,0.3,0.8,4.5
Keita Bates-Diop,SF,28,BRK,14,0,4.9,0.5,0.2,0.636,1,0.6,0.3,0.2,0.1,0.1,0.1,1.6
Nicolas Batum,PF,35,TOT,60,38,25.5,0.453,0.395,0.606,0.714,4.1,2.1,0.8,0.6,0.7,1.8,5.3
Nicolas Batum,PF,35,LAC,3,0,18,0.375,0.286,1,0,2.3,1.7,1,1.3,0.3,1.7,2.7
Nicolas Batum,PF,35,PHI,57,38,25.9,0.456,0.399,0.6,0.714,4.2,2.2,0.8,0.6,0.7,1.8,5.5
Darius Bazley,PF,23,TOT,9,0,16.9,0.6,0.25,0.727,0.833,3.1,0.8,0.7,0.8,0.9,0.3,5.3
Darius Bazley,PF,23,PHI,3,0,3.3,0,0,0,0,0.3,0.7,0,0,0.3,0,0
Darius Bazley,PF,23,UTA,6,0,23.7,0.621,0.25,0.762,0.833,4.5,0.8,1,1.2,1.2,0.5,8
Bradley Beal,SG,30,PHO,53,53,33.3,0.513,0.43,0.552,0.813,4.4,5,1,0.5,2.5,2.4,18.2
Malik Beasley,SG,27,MIL,79,77,29.6,0.443,0.413,0.533,0.714,3.7,1.4,0.7,0.1,0.7,2,11.3
MarJon Beauchamp,SF,23,MIL,48,1,12.7,0.488,0.4,0.56,0.679,2.1,0.6,0.3,0.1,0.6,1.1,4.4
Jules Bernard,SG,24,WAS,19,0,7.8,0.453,0.379,0.514,0.556,1.4,0.8,0.2,0.1,0.4,0.7,3.9
Davis Bertans,PF,31,TOT,43,1,15.7,0.393,0.38,0.471,0.909,1.4,0.8,0.6,0.3,0.4,1.3,6.7
Davis Bertans,PF,31,OKC,15,0,6.1,0.385,0.417,0,0.933,0.7,0.6,0.2,0.2,0.1,0.7,2.9
Davis Bertans,PF,31,CHO,28,1,20.8,0.394,0.375,0.5,0.889,1.8,0.9,0.8,0.3,0.6,1.6,8.8
Patrick Beverley,PG,35,TOT,73,13,20,0.417,0.337,0.49,0.822,3.3,2.9,0.6,0.4,0.9,1.8,6.2
Patrick Beverley,PG,35,PHI,47,5,19.6,0.432,0.321,0.523,0.81,3.1,3.1,0.5,0.4,1,1.8,6.3
Patrick Beverley,PG,35,MIL,26,8,20.9,0.391,0.361,0.424,0.852,3.6,2.6,0.7,0.5,0.6,1.7,6
Saddiq Bey,SF,24,ATL,63,51,32.7,0.416,0.316,0.522,0.837,6.5,1.5,0.8,0.2,0.9,1.4,13.7
Goga Bitadze,C,24,ORL,62,33,15.4,0.603,0.143,0.636,0.655,4.6,1.3,0.5,1.2,0.7,1.7,5
Onuralp Bitim,SG,24,CHI,23,1,11.7,0.381,0.273,0.5,0.8,1.4,0.6,0.1,0.1,0.4,1,3.5
Bismack Biyombo,C,31,TOT,40,27,19.8,0.565,0,0.565,0.481,5.2,1.3,0.3,0.9,1.1,2.2,4.4
Bismack Biyombo,C,31,MEM,30,27,23.9,0.563,0,0.563,0.478,6.4,1.7,0.3,1.1,1.3,2.7,5.2
Bismack Biyombo,C,31,OKC,10,0,7.3,0.583,0,0.583,0.5,1.8,0.2,0.1,0.3,0.4,0.7,1.8
Anthony Black,PG,20,ORL,69,33,16.9,0.466,0.394,0.51,0.613,2,1.3,0.5,0.3,0.8,1.6,4.6
Leaky Black,SF,24,CHO,26,3,10.9,0.481,0.45,0.5,0.667,1.8,0.9,0.3,0.4,0.2,0.7,2.7
Buddy Boeheim,SF,24,DET,10,0,8.4,0.31,0.32,0.25,0.8,1,0.3,0,0.1,0,0.5,3.4
